1F BAHAMUT000 (薯條控)	2F felt0000 (???-青鳥)	3F a5190017 (嗚嗚)	
4F alvin5716 (橘子狂想)	5F BADOU (Master Yi)	6F SmallYue1 (SmallYue)	
7F home29251347 (電競黃昏_S級杏病患者)	8F zxs865566 (我有問題)	9F wilson099033 (邊緣的一拳)	
10F r136875 (熊魂有勁)	11F hensen1997 (黑髮少年)	12F a787954321 (被uu80的阿金)	
13F Fu321 (小妹)	14F lukeisluck (KOM)	15F z23241342 (小胖)	
16F fangrock (我回來了~)	17F andytim60919 (雷翁哈特⊙?⊙)	18F s120206s (通知達人)	
19F YuWei222 (Chardonnay)	20F jeff2997731 (看到)	21F c8080280809 (超高校級Saber)	
22F freedom0807 (終生邊緣咧犬B)	23F LizardGAY (犰狳蜥)	24F detonator (只想睡覺)	
25F stan410723 (喵喵喵)	26F Nekomimi09 (沈睡的人)	27F kevinsha1126 (思樂冰)	
28F hex666rip (聖盾使???????)	29F coy51004 (暗鴉夜羽‧無星之夜)	30F cream1110 (limlim)	
31F tves4405 (香蕉好好吃)	32F cv888555 (濕熱冰)	33F max651234 (心好累)	
34F neil00616 (初音婊(學測認真模式)	35F pb520 (異音787)	36F Wolf0101 (狼王)	
37F StyLe07238 (冰璃 ?‧?‧??)	38F JAA93045 (你們真的很厲害)	39F asqw22359 (?(????)	
40F lplp30515lp (惠惠-爆裂模式(???)	41F k8k9k8k9 (DeVilMix)	42F chris90268 (快刀亂麻)	
43F jixz65842 (00000000)	44F st0970220 (魯冰蛙)	45F hiyo6530 (~半月~)	
46F timephoenix (別忘了我也當過濕淋王)	47F hank22031545 (ha ha)	48F yoshi412 (天翠小銀)	
49F kenny7351264 (普羅)	50F fish456 (找我?)	51F Orange2379 (蘿莉吃橘子)	
52F gay19195 (Dieu.)	53F as1255384 (Mark)	54F ellkiella (夜一悠)	
55F mdes71019 (周公定律)	56F citybomb (亞洲野飼料&amp;lt;3)	57F BruceJay (帥)	
58F p0953776 (樓蘭-統測地獄模式)	59F noobnewbier5 (酪梨比亞)	60F az951234 (密格)	
61F belled94412 (金星)	62F tim9650223 (ㄏ)	63F xu3gji4q (哆啦也想野格)	
64F qazm582 (大和)	65F sjw34548 (JeoWay)	66F denny4637 (羽痕梓)	
67F wuken0325 (呆皮的同學)	68F x121357004 (摸摸寶貝~)	69F akira0243 (洗菇)	
70F wiwi05006 (TW楓葉)	71F WayThuz (羽翔之靈)	72F ss7958095 (柊澪罪(*’?‘*)	
73F qaz0021019 (肥肥老能)	74F dd6232010 (卅)	75F a7422373 (哈哈)	
76F guo0630 (Hero)	77F s212221221 (夜風)	78F fs9812950915 (用過都說厲害)	
79F popo12211487 (生來就是玩)	80F r5935r5935r (黑暗序曲)	81F aa15a82aaa (只是普通人)	
82F aa0917181 (????)	83F joy024549 (Joy)	84F jsn870826 (亂入的修)	
85F johnshou (鳳梨糖果)	86F tengo99 (HenZie)	87F ken94013 (去冰冰沙)	
88F a12890624 (爻腋下控X摳需巴威爻)	89F zaxx1542 (我有一個妹妹)	90F silence1205 (樓下都處男)	
91F YOIALWAYSFF (謝謝天雲)	92F noend (心意老爹)	93F Airou0517 (小野貓愛吃魚)	
94F zxcc56783 (刷波魚丸)	95F ikjlzxzx (LastMoon聖殤)	96F erwin990423 (苒)	
97F maxlee33011 (摸摸)	98F xlber4 (你這肥宅不錯嘛)	99F jack21613 (光明)	
100F ca93257 (草泥馬先生*)	101F Seven7luga (七七魯嘉)	102F a31977783 (我才不是大帥哥)	
103F ruko10 (一條子)	104F rewq12346552 (ㄌㄩㄝ~~)	105F asw5889 (雷克薩先生)	
106F asd13524 (萌萌小母貓)	107F p8985p99 (超高校級?鴕鳥)	108F leaf0278 (諸葛亮)	
